"","OM","MP","1_y3","1_y5","1_y10","2_y3","2_y5","2_y10","3_y3","3_y5","3_y10"
"1","OMbase",1,"68%","82%","94%","25%","25%","28%","0 kt","0 kt","0 kt"
"2","OMbase",2,"41%","47%","59%","48%","46%","48%","3.6 kt","3.3 kt","3.1 kt"
"3","OMbase",3,"17%","13%","10%","76%","75%","76%","11.1 kt","8 kt","4.1 kt"
"4","OMbase",4,"41%","46%","55%","48%","47%","50%","3.7 kt","3.5 kt","3.4 kt"
"5","OMbase",5,"40%","43%","47%","49%","49%","52%","3.8 kt","3.6 kt","3.4 kt"
"6","OMbase",6,"32%","34%","35%","57%","56%","58%","6 kt","5.4 kt","4.8 kt"
"7","OMbase",7,"34%","37%","40%","57%","57%","60%","5.7 kt","5.4 kt","5.2 kt"
"8","OMbase",8,"28%","29%","28%","64%","64%","67%","7.5 kt","7.2 kt","6.9 kt"
"9","OMbase",9,"23%","22%","19%","70%","69%","71%","9.3 kt","8.9 kt","6.7 kt"
"10","OMbase",10,"19%","17%","13%","73%","72%","74%","10.9 kt","9.4 kt","4.9 kt"
"11","OMbase",11,"17%","13%","9%","76%","75%","76%","11.1 kt","8 kt","4 kt"
"12","OMcore1",1,"75%","87%","96%","22%","22%","27%","0 kt","0 kt","0 kt"
"13","OMcore1",2,"52%","64%","80%","41%","36%","36%","3.6 kt","3.3 kt","3.2 kt"
"14","OMcore1",3,"24%","29%","41%","66%","57%","50%","12.5 kt","12.1 kt","12.1 kt"
"15","OMcore1",4,"52%","63%","78%","41%","37%","38%","3.8 kt","3.6 kt","3.8 kt"
"16","OMcore1",5,"51%","60%","72%","42%","38%","40%","3.8 kt","3.7 kt","3.9 kt"
"17","OMcore1",6,"43%","54%","66%","49%","43%","42%","6.2 kt","6 kt","6.6 kt"
"18","OMcore1",7,"43%","54%","69%","49%","43%","42%","5.7 kt","5.5 kt","5.6 kt"
"19","OMcore1",8,"36%","46%","61%","55%","48%","45%","7.6 kt","7.4 kt","7.4 kt"
"20","OMcore1",9,"32%","38%","52%","60%","52%","47%","9.4 kt","9.2 kt","9.2 kt"
"21","OMcore1",10,"28%","33%","46%","63%","55%","49%","11.1 kt","10.9 kt","10.9 kt"
"22","OMcore1",11,"24%","29%","40%","66%","57%","51%","12.7 kt","12.3 kt","12.4 kt"
"23","OMcore2",1,"63%","82%","96%","18%","17%","21%","0 kt","0 kt","0 kt"
"24","OMcore2",2,"37%","51%","69%","40%","38%","39%","3.6 kt","3.3 kt","3.1 kt"
"25","OMcore2",3,"14%","14%","14%","74%","72%","73%","11.1 kt","8.2 kt","4.8 kt"
"26","OMcore2",4,"37%","49%","66%","40%","39%","41%","3.8 kt","3.6 kt","3.7 kt"
"27","OMcore2",5,"35%","45%","57%","41%","41%","45%","3.8 kt","3.7 kt","3.7 kt"
"28","OMcore2",6,"27%","35%","45%","51%","49%","51%","6.1 kt","5.8 kt","5.8 kt"
"29","OMcore2",7,"29%","38%","51%","51%","49%","51%","5.7 kt","5.5 kt","5.4 kt"
"30","OMcore2",8,"24%","29%","37%","59%","58%","60%","7.5 kt","7.3 kt","7.1 kt"
"31","OMcore2",9,"20%","22%","25%","67%","65%","67%","9.3 kt","9 kt","8.5 kt"
"32","OMcore2",10,"17%","17%","17%","71%","70%","71%","10.9 kt","9.8 kt","5.9 kt"
"33","OMcore2",11,"14%","13%","12%","74%","73%","73%","11 kt","8.1 kt","4.7 kt"
"34","OMcore3",1,"57%","69%","86%","31%","31%","33%","0 kt","0 kt","0 kt"
"35","OMcore3",2,"32%","36%","41%","57%","55%","57%","3.6 kt","3.3 kt","3.1 kt"
"36","OMcore3",3,"11%","8%","6%","80%","79%","80%","9.2 kt","6.2 kt","2.8 kt"
"37","OMcore3",4,"31%","35%","37%","57%","56%","58%","3.7 kt","3.5 kt","3.3 kt"
"38","OMcore3",5,"30%","31%","30%","58%","57%","60%","3.7 kt","3.5 kt","3.3 kt"
"39","OMcore3",6,"24%","23%","22%","65%","64%","66%","5.6 kt","4.8 kt","4 kt"
"40","OMcore3",7,"25%","26%","25%","65%","65%","68%","5.6 kt","5.3 kt","5 kt"
"41","OMcore3",8,"21%","19%","15%","72%","71%","74%","7.4 kt","7.1 kt","6.2 kt"
"42","OMcore3",9,"17%","14%","10%","75%","75%","77%","9.1 kt","8.4 kt","4.1 kt"
"43","OMcore3",10,"14%","10%","7%","79%","77%","79%","10 kt","7 kt","3.2 kt"
"44","OMcore3",11,"11%","8%","5%","81%","79%","80%","9.2 kt","6.1 kt","2.8 kt"
"45","OMcore4",1,"75%","87%","97%","23%","23%","26%","0 kt","0 kt","0 kt"
"46","OMcore4",2,"43%","49%","58%","48%","47%","48%","3.6 kt","3.3 kt","3.1 kt"
"47","OMcore4",3,"18%","15%","13%","74%","73%","74%","12.3 kt","9.5 kt","5.1 kt"
"48","OMcore4",4,"43%","48%","56%","48%","47%","50%","3.8 kt","3.6 kt","3.5 kt"
"49","OMcore4",5,"42%","45%","48%","49%","49%","52%","3.8 kt","3.6 kt","3.5 kt"
"50","OMcore4",6,"34%","36%","38%","56%","55%","56%","6.2 kt","5.7 kt","5.1 kt"
"51","OMcore4",7,"36%","39%","41%","56%","55%","58%","5.7 kt","5.5 kt","5.3 kt"
"52","OMcore4",8,"30%","31%","31%","63%","62%","64%","7.6 kt","7.3 kt","7 kt"
"53","OMcore4",9,"25%","24%","22%","68%","67%","69%","9.4 kt","9.1 kt","8.3 kt"
"54","OMcore4",10,"21%","19%","16%","72%","71%","72%","11.2 kt","10.5 kt","6.2 kt"
"55","OMcore4",11,"18%","14%","12%","74%","73%","74%","12.5 kt","9.4 kt","5 kt"
"56","OMstress1",1,"93%","99%","100%","18%","17%","24%","0 kt","0 kt","0 kt"
"57","OMstress1",2,"74%","92%","99%","31%","27%","30%","3.6 kt","3.3 kt","3.2 kt"
"58","OMstress1",3,"39%","56%","73%","55%","47%","44%","13 kt","12.9 kt","13.1 kt"
"59","OMstress1",4,"74%","91%","97%","32%","27%","33%","3.8 kt","3.9 kt","4.7 kt"
"60","OMstress1",5,"73%","89%","93%","32%","29%","36%","3.9 kt","4 kt","7.3 kt"
"61","OMstress1",6,"65%","85%","90%","38%","33%","38%","6.4 kt","6.8 kt","9.3 kt"
"62","OMstress1",7,"65%","85%","95%","37%","32%","35%","5.8 kt","5.8 kt","6.4 kt"
"63","OMstress1",8,"57%","77%","90%","43%","36%","38%","7.7 kt","7.6 kt","8.1 kt"
"64","OMstress1",9,"50%","68%","85%","48%","41%","40%","9.6 kt","9.5 kt","9.8 kt"
"65","OMstress1",10,"44%","61%","77%","52%","44%","43%","11.4 kt","11.3 kt","11.5 kt"
"66","OMstress1",11,"39%","55%","70%","55%","47%","45%","13.2 kt","13.1 kt","13.3 kt"
"67","OMstress2",1,"69%","82%","94%","25%","25%","28%","0 kt","0 kt","0 kt"
"68","OMstress2",2,"46%","55%","69%","44%","42%","44%","3.5 kt","3.3 kt","3.1 kt"
"69","OMstress2",3,"17%","14%","12%","75%","74%","75%","10.2 kt","7.5 kt","3.8 kt"
"70","OMstress2",4,"46%","54%","66%","44%","43%","46%","3.7 kt","3.5 kt","3.5 kt"
"71","OMstress2",5,"45%","50%","56%","45%","45%","49%","3.7 kt","3.6 kt","3.5 kt"
"72","OMstress2",6,"36%","39%","43%","55%","54%","56%","6 kt","5.5 kt","5.1 kt"
"73","OMstress2",7,"38%","43%","48%","54%","54%","57%","5.6 kt","5.4 kt","5.3 kt"
"74","OMstress2",8,"31%","32%","33%","62%","62%","65%","7.5 kt","7.2 kt","6.9 kt"
"75","OMstress2",9,"25%","25%","23%","68%","68%","70%","9.2 kt","8.9 kt","6.7 kt"
"76","OMstress2",10,"21%","18%","15%","72%","71%","74%","10.7 kt","8.7 kt","4.6 kt"
"77","OMstress2",11,"17%","14%","10%","75%","74%","76%","10.1 kt","7.4 kt","3.8 kt"
"78","OMstress3",1,"68%","82%","94%","25%","25%","28%","0 kt","0 kt","0 kt"
"79","OMstress3",2,"51%","61%","77%","39%","38%","39%","3.5 kt","3.2 kt","3.1 kt"
"80","OMstress3",3,"16%","13%","10%","77%","75%","77%","9.4 kt","6.2 kt","2.4 kt"
"81","OMstress3",4,"50%","60%","73%","39%","39%","42%","3.6 kt","3.5 kt","3.5 kt"
"82","OMstress3",5,"49%","55%","62%","41%","41%","46%","3.7 kt","3.5 kt","3.5 kt"
"83","OMstress3",6,"37%","41%","46%","52%","51%","53%","6 kt","5.5 kt","5.2 kt"
"84","OMstress3",7,"40%","45%","50%","52%","52%","55%","5.6 kt","5.4 kt","5.3 kt"
"85","OMstress3",8,"31%","33%","32%","62%","62%","65%","7.5 kt","7.3 kt","6.9 kt"
"86","OMstress3",9,"25%","23%","20%","69%","69%","71%","9.3 kt","8.9 kt","6 kt"
"87","OMstress3",10,"19%","16%","13%","74%","73%","75%","10.7 kt","8 kt","3.4 kt"
"88","OMstress3",11,"15%","12%","8%","77%","76%","77%","9.3 kt","6.1 kt","2.2 kt"
